Mode,Volume (in Cr.)
BHIM UPI,1251.7606973999996
Others,555.6431352999996
PPI,533.179
Debit Card,512.3932
NACH,340.10429000000005
NEFT,274.4467
IMPS,257.90562469999975
Credit Card,217.7284
Internet Banking,189.4176241
Closed Loop Wallet,149.84803769999996
Mobile Banking,126.38806840000004
AEPS,88.60687550000003
NETC,58.2585987
RTGS,15.0679
BHIM Aadhaar,0.9070323000000003
USSD,0.10116560000000004
