Mode,Volume (in Cr.)
BHIM UPI,13096.043865299982
Others,1526.2276565999998
PPI,799.628466
NEFT,711.1442639999998
IMPS,585.3776995000001
NACH,537.4036213999999
NETC,385.3079638
Credit Card,353.66356200000007
Internet Banking,234.23720570000015
Debit Card,232.02433200000002
Mobile Banking,157.11177160000005
AEPS,86.13072469999989
Closed Loop Wallet,74.77375780000001
RTGS,26.374665999999994
BHIM Aadhaar,1.4272385000000007
USSD,0.26426299999999986
