Mode,Volume (in Cr.)
BHIM UPI,8324.036609099998
Others,1103.2032562000006
PPI,746.6744
NEFT,528.4743
IMPS,521.0769916999999
NACH,463.16330260000007
Debit Card,341.9476
NETC,340.87167350000004
Internet Banking,302.41174930000005
Credit Card,291.56219999999996
Mobile Banking,139.98088110000006
AEPS,118.46248360000003
Closed Loop Wallet,71.4567353
RTGS,24.256199999999996
BHIM Aadhaar,2.1428671999999995
USSD,0.1713556
