Mode,Volume (in Cr.)
BHIM UPI,10417.535870399994
PPI,483.77670989999996
NEFT,463.3267496
NACH,343.9898397
IMPS,266.9735720999999
NETC,227.82801990000002
Credit Card,220.0514393
Debit Card,120.4304398
Others,23.1927935
RTGS,15.806899900000001
Mobile Banking,4.519159700000002
Internet Banking,3.7217540999999996
AEPS,1.5865788000000003
BHIM Aadhaar,1.0439538000000002
USSD,0.07905240000000004
